gene,median_log2fc,combined_p,evidence_score,gene_name,gene_type,ad_evidence_level,human_ad_evidence,mechanistic_evidence,synaptic_evidence,tau_evidence,amyloid_evidence,neuroinflammation_evidence,pmid,literature_note
VGF,-2.0929046703202907,5.939818476661909e-06,1.7440872252669088,VGF nerve growth factor inducible,protein-coding,strong,yes,yes,yes,unclear,yes,unclear,40095667,Human CSF VGF levels are associated with Alzheimer disease onset and progression; VGF is also implicated in AD-related molecular networks.
RPH3A,-1.5832182897068794,5.157783410583074e-06,1.3193485747557328,rabphilin 3A,protein-coding,strong,yes,yes,yes,limited,yes,unclear,24200817,RPH3A is reduced in postmortem AD neocortex and correlates with dementia severity and amyloid burden; Aβ exposure also reduces RPH3A in cultured neurons.
NEUROD6,-1.4229184371828634,5.721513915920362e-05,1.1857653643190529,neuronal differentiation 6,protein-coding,strong,yes,limited,yes,unclear,unclear,unclear,25548427,NEUROD6 was consistently downregulated in Alzheimer brain RNA-seq datasets from independent cohorts.
FKBP5,1.20251965462713,0.0034837466156288,1.002099712189275,FKBP prolyl isomerase 5,protein-coding,strong,yes,yes,limited,yes,limited,unclear,23999428,"FKBP51, encoded by FKBP5, stabilizes tau through Hsp90-related mechanisms; levels increase with age and Alzheimer disease progression."
PPEF1,-1.046326136212511,0.0007226113136796,0.871938446843759,protein phosphatase with EF-hand domain 1,protein-coding,moderate,yes,limited,limited,unclear,unclear,limited,26202100;39215110,"PPEF1 has been repeatedly implicated in transcriptomic and bioinformatic analyses of late-onset Alzheimer disease, including large meta-analysis work."
CRH,-1.036925261482761,0.0002661564775102,0.8641043845689675,corticotropin releasing hormone,protein-coding,moderate,yes,yes,limited,unclear,limited,unclear,3029628;3502064;11442356,Reduced CRH has been reported in Alzheimer cortex and CSF; experimental work suggests CRH may influence neuronal responses to AD-relevant stressors.
MAS1,-0.9647771907829426,0.0008807607372346,0.8039809923191187,"MAS1 proto-oncogene, G protein-coupled receptor",protein-coding,strong,yes,yes,yes,yes,yes,yes,37813091;32701063,MAS1 expression is reduced at advanced Braak stages and inversely related to amyloid and tau load in human cortex; experimental activation of the ACE2/Ang-(1-7)/MAS1 axis improves AD-like pathology in mice.
NRN1,-0.9407119325868752,0.0004677560793853,0.7839266104890626,neuritin 1,protein-coding,strong,yes,yes,yes,yes,limited,unclear,37024090;41645874;40296620,NRN1 is associated with cognitive resilience to Alzheimer pathology and has been investigated as an AD therapeutic target; recent work also links it to tau-related mechanisms.
MCHR1,-0.91366670070362,0.0026369313063369,0.7613889172530166,melanin concentrating hormone receptor 1,protein-coding,unclear,unclear,unclear,limited,unclear,unclear,unclear,,"MCHR1 is brain-enriched and neurobiologically relevant, but targeted review did not identify strong direct Alzheimer-specific evidence."
SCG2,-0.9040129035145216,0.0086170752917527,0.7533440862621013,secretogranin II,protein-coding,moderate,yes,limited,yes,limited,limited,unclear,37160957;41279079;32518535,SCG2 is altered in AD CSF proteomics and is part of a neuronal plasticity/synaptic expression cluster disrupted in AD cortex.
